Month,Energy Consumption(Trillion BTU),Avg Temp(in celsius),No of holidays
"Jan,2013",2430.249,0,2
"Feb,2013",2066.288,1.55,1
"Mar,2013",1996.393,4.88,0
"Apr,2013",1486.952,9.83,1
"May,2013",1322.754,16.11,2
"Jun,2013",1485.63,21.33,1
"Jul,2013",1730.235,23.5,1
"Aug,2013",1655.433,22.83,0
"Sep,2013",1453.064,19.61,1
"Oct,2013",1349.648,12,1
"Nov,2013",1695.382,5.33,3
"Dec,2013",2380.846,-0.61,1
"Jan,2014",2776.908,-0.94,2
"Feb,2014",2323.24,0.11,1
"Mar,2014",2065.689,4.72,0
"Apr,2014",1424.138,10.94,1
"May,2014",1349.588,16.22,2
"Jun,2014",1497.498,20.88,1
"Jul,2014",1667.379,22.94,1
"Aug,2014",1641.032,22.33,0
"Sep,2014",1449.635,19,1
"Oct,2014",1343.638,13.94,1
"Nov,2014",1761.858,4.05,3
"Dec,2014",2147.585,2.83,1
"Jan,2015",2548.5,0.6,2
"Feb,2015",2342.954,0.54,1
"Mar,2015",1955.234,7.45,0
"Apr,2015",1343.708,11.8,1
"May,2015",1303.298,16.02,2
"Jun,2015",1486.41,21.86,1
"Jul,2015",1735.631,23.29,1
"Aug,2015",1687.662,22.75,0
"Sep,2015",1452.441,20.3,1
"Oct,2015",1335.532,14.03,1
"Nov,2015",1519.155,7,3
"Dec,2015",1910.5,3.7,1
"Jan,2016",2391.909,0.12,2
"Feb,2016",1984.684,4.15,1
"Mar,2016",1582.172,8.61,0
"Apr,2016",1341.057,11.77,1
"May,2016",1289.397,15.74,2
"Jun,2016",1528.532,22.09,1
"Jul,2016",1816.872,24.01,1
"Aug,2016",1770.772,23.07,0
"Sep,2016",1477.414,19.51,1
"Oct,2016",1318.845,14.29,1
"Nov,2016",1446.099,8.87,3
"Dec,2016",2239.664,0.53,1
